reference_month,region_level,region_code,region_label,accommodation_scope,measure,total,single,single_parent_1_child,single_parent_2_children,couple_no_child,couple_1_child,couple_2_children
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_bruttokaltmiete_eur_per_bg,371.7077,311.7411,422.5959,488.4055,403.3307,501.1618,539.8104
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_bruttokaltmiete_eur_per_sqm,7.6298,7.7997,7.2902,7.2136,7.0975,7.6024,7.7160
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_heizkosten_eur_per_bg,91.3761,71.6553,112.2666,130.5769,103.8206,120.3383,146.9846
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_heizkosten_eur_per_sqm,1.8484,1.7940,1.9328,1.9587,1.8422,1.8461,2.1086
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_kalte_betriebskosten_eur_per_bg,86.2769,70.1021,97.8574,118.4684,98.2054,119.7330,138.5101
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_kalte_betriebskosten_eur_per_sqm,1.7786,1.7785,1.6899,1.7563,1.7488,1.8650,1.9603
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_kdu_total_eur_per_bg,463.0838,383.3964,534.8626,618.9824,507.1513,621.5001,686.7951
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_kdu_total_eur_per_sqm,9.4781,9.5937,9.2230,9.1722,8.9397,9.4486,9.8245
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_unterkunftskosten_eur_per_bg,285.4308,241.6390,324.7385,369.9371,305.1253,381.4288,401.3003
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_unterkunftskosten_eur_per_sqm,5.8512,6.0212,5.6003,5.4572,5.3486,5.7374,5.7557
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,bg_stock,8834.0000,5511.0000,870.0000,419.0000,806.0000,324.0000,269.0000
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,bg_stock_with_recognised_kdu,8689.0000,5399.0000,858.0000,417.0000,801.0000,321.0000,265.0000
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,mean_floor_area_sqm_per_bg,51.4550,42.8321,59.1538,68.6800,58.4936,66.9448,72.1655
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_bruttokaltmiete_eur_per_bg,360.6899,301.6186,407.6288,476.3561,392.4997,488.6447,528.8834
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_bruttokaltmiete_eur_per_sqm,7.4463,7.6050,7.0727,7.0718,6.9330,7.4453,7.6030
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_heizkosten_eur_per_bg,89.6895,70.0675,109.4234,129.0915,101.3826,119.8191,145.7134
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_heizkosten_eur_per_sqm,1.8180,1.7621,1.8899,1.9389,1.8018,1.8405,2.0900
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_kalte_betriebskosten_eur_per_bg,84.5937,68.4635,95.8779,117.2782,96.3202,118.3893,136.1481
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_kalte_betriebskosten_eur_per_sqm,1.7468,1.7433,1.6587,1.7411,1.7160,1.8465,1.9330
