reference_month,region_level,region_code,region_label,accommodation_scope,measure,total,1_person,2_persons,3_persons,4_persons,5_persons,6_or_more_persons
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_bruttokaltmiete_eur_per_bg,398.3400,328.3550,420.5985,488.1161,549.3986,589.8255,740.0546
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_bruttokaltmiete_eur_per_sqm,7.6298,7.7904,7.2436,7.4029,7.5844,8.0504,8.4590
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_heizkosten_eur_per_bg,98.2063,74.9004,107.5103,129.3945,141.6935,157.6294,210.4768
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_heizkosten_eur_per_sqm,1.8484,1.7621,1.8577,1.9859,2.0305,2.0449,2.3869
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_kalte_betriebskosten_eur_per_bg,92.7927,73.3313,98.6193,120.7865,134.6583,149.8143,171.4190
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_kalte_betriebskosten_eur_per_sqm,1.7786,1.7553,1.7086,1.8468,1.9215,2.0555,1.9579
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_kdu_total_eur_per_bg,496.5462,403.2554,528.1088,617.5107,691.0921,747.4550,950.5314
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_kdu_total_eur_per_person,321.1353,403.2554,264.0544,205.8369,172.7730,149.4910,140.2371
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_kdu_total_eur_per_sqm,9.4781,9.5525,9.1012,9.3888,9.6149,10.0954,10.8459
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_unterkunftskosten_eur_per_bg,305.5473,255.0237,321.9792,367.3297,414.7403,440.0112,568.6357
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,actual_unterkunftskosten_eur_per_sqm,5.8512,6.0351,5.5349,5.5561,5.6629,5.9949,6.5011
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,bg_stock,8834.0000,4792.0000,2013.0000,1025.0000,547.0000,258.0000,199.0000
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,bg_stock_with_recognised_kdu,8689.0000,4714.0000,1991.0000,1000.0000,538.0000,252.0000,194.0000
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,bg_stock_with_recognised_kdu_and_floor_area,8620.0000,4676.0000,1977.0000,996.0000,532.0000,249.0000,190.0000
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,mean_floor_area_sqm_per_bg,55.1646,45.0526,60.0056,67.7299,75.1053,79.6386,99.8789
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,mean_floor_area_sqm_per_person,35.8723,45.0526,30.0028,22.5766,18.7763,15.9277,14.7191
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_bruttokaltmiete_eur_per_bg,387.1106,316.9885,408.3321,476.2177,541.4617,585.5079,728.1369
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_bruttokaltmiete_eur_per_sqm,7.4463,7.5746,7.0640,7.2551,7.5032,8.0133,8.3650
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_heizkosten_eur_per_bg,96.4939,73.1130,105.2533,128.1735,140.6134,157.3913,209.9773
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_heizkosten_eur_per_sqm,1.8180,1.7265,1.8226,1.9703,2.0143,2.0429,2.3821
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_kalte_betriebskosten_eur_per_bg,91.0777,71.4666,96.9083,119.3954,133.0322,149.6905,169.3151
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_kalte_betriebskosten_eur_per_sqm,1.7468,1.7165,1.6807,1.8239,1.9019,2.0544,1.9378
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_kdu_total_eur_per_bg,483.6045,390.1015,513.5854,604.3912,682.0751,742.8992,938.1142
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_kdu_total_eur_per_person,311.6238,390.1015,256.7927,201.4637,170.5188,148.5798,138.3581
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_kdu_total_eur_per_sqm,9.2643,9.3011,8.8866,9.2254,9.5175,10.0562,10.7470
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_unterkunftskosten_eur_per_bg,296.0329,245.5219,311.4238,356.8223,408.4295,435.8173,558.8218
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_unterkunftskosten_eur_per_sqm,5.6995,5.8581,5.3833,5.4312,5.6013,5.9588,6.4272
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_bruttokaltmiete_eur_per_bg,391.4231,325.1267,415.8327,474.3961,540.6281,583.0061,690.1512
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_bruttokaltmiete_eur_per_sqm,7.2583,7.2998,7.1190,7.1150,7.4888,7.2035,7.6356
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_heizkosten_eur_per_bg,107.0592,83.0905,115.0811,138.3899,157.5551,178.4314,221.0487
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_heizkosten_eur_per_sqm,1.9630,1.8546,1.9840,2.1087,2.2074,2.2311,2.6241
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_kalte_betriebskosten_eur_per_bg,92.9721,73.4179,99.3762,116.9001,137.9618,155.4449,180.7182
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_kalte_betriebskosten_eur_per_sqm,1.7179,1.6614,1.7007,1.7798,1.9223,1.9579,2.0634
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_kdu_total_eur_per_bg,498.4823,408.2172,530.9138,612.7859,698.1832,761.4375,911.1999
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_kdu_total_eur_per_person,326.4958,408.2172,265.4569,204.2620,174.5458,152.2875,137.6379
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_kdu_total_eur_per_sqm,9.2213,9.1544,9.1029,9.2237,9.6962,9.4346,10.2597
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_unterkunftskosten_eur_per_bg,298.4510,251.7087,316.4565,357.4960,402.6662,427.5613,509.4330
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_unterkunftskosten_eur_per_sqm,5.5404,5.6384,5.4182,5.3352,5.5665,5.2456,5.5722
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,bg_stock,10229.0000,5735.0000,2201.0000,1103.0000,597.0000,308.0000,285.0000
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,bg_stock_with_recognised_kdu,10059.0000,5636.0000,2163.0000,1080.0000,591.0000,307.0000,282.0000
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,bg_stock_with_recognised_kdu_and_floor_area,10009.0000,5612.0000,2157.0000,1076.0000,586.0000,304.0000,274.0000
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,mean_floor_area_sqm_per_bg,55.7164,46.0201,60.5573,67.8132,75.6399,82.6053,96.2555
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,mean_floor_area_sqm_per_person,36.7661,46.0201,30.2786,22.6044,18.9100,16.5211,14.5611
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_bruttokaltmiete_eur_per_bg,383.3843,318.6729,406.7066,462.7302,531.7691,567.4575,682.5617
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_bruttokaltmiete_eur_per_sqm,7.1329,7.1773,6.9836,6.9691,7.3939,7.0478,7.5777
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_heizkosten_eur_per_bg,103.6366,80.4182,110.7091,133.0425,154.1828,175.4084,216.7422
