parameter,mietenstufe,household_size,value_eur,legal_source,in_force_from,bgbl_reference
base_cap,1,1,361,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,2,1,408,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,3,1,456,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,4,1,511,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,5,1,562,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,6,1,615,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,7,1,677,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,1,2,437,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,2,2,493,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,3,2,551,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,4,2,619,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
